Date Added,Number,Risk Description,Project Stage,Risk Category,Probability,Severity,Score,Risk Owner,Action Plan
,ict 001,identity and access management iam systems compromised systems are susceptible to intrusion from external sources due to web applications supported by out of date operating systems,,,3,7,high,,implement automated iam systems and multiform authentication where required complete update of new application architecture data encryption at rest and in transit implemented for all systems iso 27001 based framework and associated relevant controls implemented
,ict 002,backup and recovery services are not documented and untested critical systems are supported by out of date infrastructure and operating systems resulting in database corruptions,,,9,7,med,infrastructure manager,implement automated iam systems and multiform authentication where required complete update of new application architecture data encryption at rest and in transit implemented for all systems iso 27001 based framework and associated relevant controls implemented
,ict 003,critical systems are supported by out of date infrastructure and operating systems resulting in numerous outages and untreatable cyber security intrusions current infrastructure is not architected for high availability lack of disaster recovery facilities that will meet recovery time and point objective requirements,,,10,7,high,infrastructure manager,document and test backup and recovery services migrate systems to new infrastructure iso 27001 based framework and associated relevant controls implemented
